date,total_comedy
2020-01-01,6.0
2020-01-02,6.0
2020-01-03,16.0
2020-01-04,15.0
2020-01-05,7.0
2020-01-06,10.0
2020-01-07,12.0
2020-01-08,14.0
2020-01-09,8.0
2020-01-10,15.0
2020-01-11,16.0
2020-01-12,11.0
2020-01-13,7.0
2020-01-14,12.0
2020-01-15,12.0
2020-01-16,12.0
2020-01-17,15.0
2020-01-18,18.0
2020-01-19,5.0
2020-01-20,14.0
2020-01-21,11.0
2020-01-22,14.0
2020-01-23,9.0
2020-01-24,17.0
2020-01-25,18.0
2020-01-26,8.0
2020-01-27,12.0
2020-01-28,16.0
2020-01-29,14.0
2020-01-30,14.0
2020-01-31,15.0
2020-02-01,15.0
2020-02-02,6.0
2020-02-03,14.0
2020-02-04,13.0
2020-02-05,15.0
2020-02-06,11.0
2020-02-07,19.0
2020-02-08,18.0
2020-02-09,6.0
2020-02-10,9.0
2020-02-11,8.0
2020-02-12,14.0
2020-02-13,8.0
2020-02-14,14.0
2020-02-15,11.0
2020-02-16,5.0
2020-02-17,10.0
2020-02-18,9.0
2020-02-19,18.0
2020-02-20,9.0
2020-02-21,12.0
2020-02-22,15.0
2020-02-23,8.0
2020-02-24,12.0
2020-02-25,12.0
2020-02-26,14.0
2020-02-27,13.0
2020-02-28,13.0
2020-02-29,15.0
2020-03-01,9.0
2020-03-02,8.0
2020-03-03,14.0
2020-03-04,10.0
2020-03-05,10.0
2020-03-06,15.0
2020-03-07,21.0
2020-03-08,13.0
2020-03-09,24.0
2020-03-10,22.0
2020-03-11,19.0
2020-03-12,18.0
2020-03-13,29.0
2020-03-14,29.0
2020-03-15,24.0
2020-03-16,26.0
2020-03-17,23.0
2020-03-18,20.0
2020-03-19,24.0
2020-03-20,23.0
2020-03-21,26.0
2020-03-22,14.0
2020-03-23,21.0
2020-03-24,22.0
2020-03-25,18.0
2020-03-26,15.0
2020-03-27,21.0
2020-03-28,21.0
2020-03-29,15.0
2020-03-30,22.0
2020-03-31,22.0
2020-04-01,10.0
2020-04-02,8.0
2020-04-03,11.0
2020-04-04,14.0
2020-04-05,13.0
2020-04-06,13.0
2020-04-07,12.0
2020-04-08,9.0
2020-04-09,6.0
2020-04-10,9.0
2020-04-11,15.0
2020-04-12,7.0
2020-04-13,12.0
2020-04-14,12.0
2020-04-15,10.0
2020-04-16,7.0
2020-04-17,13.0
2020-04-18,12.0
2020-04-19,13.0
2020-04-20,12.0
2020-04-21,12.0
2020-04-22,8.0
2020-04-23,6.0
2020-04-24,6.0
2020-04-25,9.0
2020-04-26,10.0
2020-04-27,12.0
2020-04-28,10.0
2020-04-29,10.0
2020-04-30,6.0
2020-05-01,7.0
2020-05-02,6.0
2020-05-03,6.0
2020-05-04,10.0
2020-05-05,7.0
2020-05-06,7.0
2020-05-07,6.0
2020-05-08,10.0
2020-05-09,12.0
2020-05-10,5.0
2020-05-11,8.0
2020-05-12,7.0
2020-05-13,7.0
2020-05-14,3.0
2020-05-15,9.0
2020-05-16,8.0
2020-05-17,12.0
2020-05-18,10.0
2020-05-19,7.0
2020-05-20,10.0
2020-05-21,4.0
2020-05-22,9.0
2020-05-23,6.0
2020-05-24,7.0
2020-05-25,10.0
2020-05-26,9.0
2020-05-27,6.0
2020-05-28,4.0
2020-05-29,6.0
2020-05-30,4.0
2020-05-31,7.0
2020-06-01,10.0
2020-06-02,10.0
2020-06-03,7.0
2020-06-04,5.0
2020-06-05,6.0
2020-06-06,6.0
2020-06-07,8.0
2020-06-08,10.0
2020-06-09,9.0
2020-06-10,6.0
2020-06-11,3.0
2020-06-12,7.0
2020-06-13,6.0
2020-06-14,8.0
2020-06-15,8.0
2020-06-16,9.0
2020-06-17,6.0
2020-06-18,6.0
2020-06-19,7.0
2020-06-20,3.0
2020-06-21,9.0
2020-06-22,8.0
2020-06-23,9.0
2020-06-24,6.0
2020-06-25,0.0
2020-06-26,1.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,1.0
2020-07-02,0.0
2020-07-03,2.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,1.0
2020-07-09,0.0
2020-07-10,2.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,1.0
2020-07-21,1.0
2020-07-22,1.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,1.0
2020-08-01,2.0
2020-08-02,1.0
2020-08-03,1.0
2020-08-04,1.0
2020-08-05,1.0
2020-08-06,1.0
2020-08-07,1.0
2020-08-08,2.0
2020-08-09,2.0
2020-08-10,1.0
2020-08-11,1.0
2020-08-12,1.0
2020-08-13,1.0
2020-08-14,1.0
2020-08-15,2.0
2020-08-16,1.0
2020-08-17,1.0
2020-08-18,1.0
2020-08-19,1.0
2020-08-20,1.0
2020-08-21,1.0
2020-08-22,1.0
2020-08-23,1.0
2020-08-24,1.0
2020-08-25,1.0
2020-08-26,1.0
2020-08-27,1.0
2020-08-28,1.0
2020-08-29,1.0
2020-08-30,1.0
2020-08-31,1.0
2020-09-01,1.0
2020-09-02,1.0
2020-09-03,1.0
2020-09-04,1.0
2020-09-05,1.0
2020-09-06,1.0
2020-09-07,1.0
2020-09-08,1.0
2020-09-09,1.0
2020-09-10,1.0
2020-09-11,1.0
2020-09-12,1.0
2020-09-13,3.0
2020-09-14,1.0
2020-09-15,1.0
2020-09-16,1.0
2020-09-17,1.0
2020-09-18,1.0
2020-09-19,2.0
2020-09-20,1.0
2020-09-21,1.0
2020-09-22,1.0
2020-09-23,2.0
2020-09-24,1.0
2020-09-25,1.0
2020-09-26,1.0
2020-09-27,1.0
2020-09-28,1.0
2020-09-29,1.0
2020-09-30,1.0
2020-10-01,1.0
2020-10-02,1.0
2020-10-03,2.0
2020-10-04,1.0
2020-10-05,1.0
2020-10-06,1.0
2020-10-07,2.0
2020-10-08,1.0
2020-10-09,2.0
2020-10-10,2.0
2020-10-11,1.0
2020-10-12,1.0
2020-10-13,1.0
2020-10-14,1.0
2020-10-15,1.0
2020-10-16,1.0
2020-10-17,1.0
2020-10-18,2.0
2020-10-19,1.0
2020-10-20,1.0
2020-10-21,1.0
2020-10-22,1.0
2020-10-23,1.0
2020-10-24,1.0
2020-10-25,1.0
2020-10-26,1.0
2020-10-27,1.0
2020-10-28,1.0
2020-10-29,1.0
2020-10-30,1.0
2020-10-31,1.0
2020-11-01,1.0
2020-11-02,1.0
2020-11-03,1.0
2020-11-04,1.0
2020-11-05,1.0
2020-11-06,1.0
2020-11-07,2.0
2020-11-08,1.0
2020-11-09,3.0
2020-11-10,4.0
2020-11-11,2.0
2020-11-12,1.0
