date,Ridership,weather,day temp,night temp,barclays-center_event_occurred,beacon-theatre_event_occurred,blue-note-jazz-club_event_occurred,brooklyn-bowl_event_occurred,carnegie-hall_event_occurred,city-winery-the-loft_event_occurred,total_comedy,total_events,total_film-screenings,forest-hills-stadium_event_occurred,irving-plaza_event_occurred,kings-theatre_event_occurred,lincoln-center_event_occurred,madison-square-garden_event_occurred,mercury-lounge_event_occurred,metlife-stadium_event_occurred,total_music,palladium-times-square_event_occurred,radio-city-music-hall_event_occurred,sony-hall_event_occurred,terminal-5_event_occurred,the-bowery-ballroom_event_occurred,the-town-hall_event_occurred,yankee-stadium_event_occurred
1/1/20,,,,,0,0,1,1,0,0,6,50,16,0,0,0,1,1,0,1,14,0,1,0,0,0,0,0
1/2/20,,,,,1,0,1,1,0,0,6,72,2,0,0,0,1,0,0,1,35,0,1,1,0,1,0,0
1/3/20,,,,,0,0,1,1,0,0,16,116,1,0,0,0,1,1,0,1,20,0,1,1,0,1,0,0
1/4/20,,,,,1,0,1,1,0,0,15,141,16,0,0,0,1,1,0,1,62,0,1,1,0,1,0,0
1/5/20,,,,,0,0,1,1,0,0,7,124,31,0,0,0,1,1,0,1,49,0,1,0,0,1,0,0
1/6/20,,,,,1,0,1,0,0,0,10,102,20,0,0,0,1,0,0,1,41,0,0,0,0,0,0,0
1/7/20,,,,,1,0,1,1,0,0,12,121,19,0,0,1,0,1,0,1,59,0,0,0,0,0,0,0
1/8/20,,,,,0,0,1,1,0,0,14,136,22,0,0,0,1,0,0,1,64,0,0,0,0,0,0,0
1/9/20,,,,,0,0,1,1,0,0,8,143,3,0,0,0,0,1,0,0,88,0,0,1,0,1,0,0
1/10/20,,,,,1,1,1,1,0,0,15,205,1,0,0,0,0,1,0,0,103,0,0,1,0,1,0,0
1/11/20,,,,,1,1,1,1,0,0,16,223,18,0,0,0,0,1,0,1,10,0,0,1,0,1,1,0
1/12/20,,,,,1,1,1,1,0,0,11,172,22,0,0,0,0,1,0,1,81,0,1,1,0,1,0,0
1/13/20,,,,,0,0,1,0,0,0,7,98,11,0,0,0,0,1,0,0,51,0,0,1,0,0,0,0
1/14/20,,,,,1,0,1,1,0,0,12,124,16,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0
1/15/20,,,,,0,0,1,1,0,0,12,131,13,0,0,0,0,0,0,0,72,0,0,0,0,1,0,0
1/16/20,,,,,1,0,1,1,0,0,12,170,1,0,0,1,0,1,0,0,97,0,0,1,0,1,1,0
1/17/20,,,,,1,1,1,1,0,0,15,179,1,0,0,0,1,0,0,0,104,0,0,1,0,1,0,0
1/18/20,,,,,1,1,1,1,0,0,18,226,15,0,0,1,0,1,0,0,119,0,1,1,0,1,0,0
1/19/20,,,,,0,0,1,1,0,0,5,126,15,0,0,0,0,1,0,0,71,0,1,1,0,0,0,0
1/20/20,,,,,1,0,1,1,0,0,14,116,23,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0
1/21/20,,,,,0,0,1,1,0,0,11,128,20,0,0,0,0,1,0,0,70,0,0,1,0,0,0,0
