Date,Ridership,Crime,temp,precip,Daily_CPI,New York State Average ($/gal)
3/2/20,5329915,1256,48.4,0.009,-0.006781131,2.61
3/3/20,5481103,1301,51.9,0.015,-0.007110649,2.61
3/4/20,5498809,1308,50.4,0.01,-0.007440166,2.61
3/5/20,5496453,1275,45.7,0,-0.007769684,2.61
3/6/20,5189447,1204,41.9,0.03,-0.008099202,2.61
3/7/20,2814637,1189,42.6,0,-0.00842872,2.61
3/8/20,2120656,1149,46.5,0,-0.008758238,2.61
3/9/20,4973513,1219,56.2,0,-0.009087756,2.58
3/10/20,4867818,1332,58.3,0,-0.009417274,2.58
3/11/20,4697122,1308,51.2,0,-0.009746792,2.58
3/12/20,4149505,1197,46.8,0.001,-0.010076309,2.58
3/13/20,3484996,1387,55.3,0.049,-0.010405827,2.58
3/14/20,1670665,1200,50.2,0,-0.010735345,2.58
3/15/20,1157711,1147,48.4,0,-0.011064863,2.58
3/16/20,2178555,1006,41.4,0,-0.011394381,2.52
3/17/20,1788786,979,46.9,0.019,-0.011723899,2.52
3/18/20,1625280,1089,47.9,0,-0.012053417,2.52
3/19/20,1422112,933,47,0.068,-0.012382934,2.52
3/20/20,1309125,1079,56.6,0,-0.012712452,2.52
3/21/20,619618,978,51,0,-0.01304197,2.52
3/22/20,408723,747,40.8,0,-0.013371488,2.52
3/23/20,709499,771,39.6,0.561,-0.013701006,2.44
3/24/20,741587,818,46.4,0,-0.014030524,2.44
3/25/20,690032,842,43.6,0.001,-0.014360042,2.44
3/26/20,680360,798,47.7,0,-0.014689559,2.44
3/27/20,656817,901,57.7,0,-0.015019077,2.44
3/28/20,332393,797,49.1,0.027,-0.015348595,2.44
3/29/20,263700,636,46.3,0.006,-0.015678113,2.44
3/30/20,545215,826,47,0.003,-0.016007631,2.36
3/31/20,508106,771,44.1,0.004,-0.016337149,2.36
4/1/20,513481,978,47.6,0,-0.016666667,2.36
4/2/20,485586,794,50,0,-0.015573477,2.36
4/3/20,483357,755,50.3,0.017,-0.014480287,2.36
4/4/20,282278,730,51.7,0.001,-0.013387097,2.36
4/5/20,227303,702,52.4,0,-0.012293907,2.36
4/6/20,445454,755,56.9,0.005,-0.011200717,2.31
4/7/20,434986,777,57.2,0,-0.010107527,2.31
4/8/20,427485,863,57.4,0.013,-0.009014337,2.31
4/9/20,404635,780,51.5,0.045,-0.007921147,2.31
4/10/20,400275,777,44.8,0.001,-0.006827957,2.31
4/11/20,257061,762,48.4,0,-0.005734767,2.31
4/12/20,198399,806,54.1,0,-0.004641577,2.31
4/13/20,363312,786,58.3,1.146,-0.003548387,2.27
4/14/20,430155,869,53.3,0,-0.002455197,2.27
4/15/20,419059,871,49,0,-0.001362007,2.27
4/16/20,420223,764,46.7,0.009,-0.000268817,2.27
4/17/20,432368,848,43.7,0.001,0.000824373,2.27
4/18/20,254453,821,45.4,0.026,0.001917563,2.27
4/19/20,224411,847,50.7,0,0.003010753,2.27
4/20/20,437852,946,53.4,0,0.004103943,2.24
4/21/20,422107,891,50.3,0.05,0.005197133,2.24
4/22/20,458781,912,45.7,0,0.006290323,2.24
4/23/20,453520,884,45.7,0.001,0.007383513,2.24
4/24/20,443956,814,47.2,0.063,0.008476703,2.24
4/25/20,295387,968,53.3,0,0.009569892,2.24
4/26/20,218787,743,48.6,0.06,0.010663082,2.24
4/27/20,462888,859,45.9,0,0.011756272,2.2
4/28/20,489247,970,53.1,0,0.012849462,2.2
4/29/20,477799,922,51.4,0.001,0.013942652,2.2
4/30/20,465869,853,54.6,0.245,0.015035842,2.2
5/1/20,494549,1156,58.3,0.068,0.016129032,2.2
5/2/20,325865,1047,63.2,0.001,0.015716268,2.2
5/3/20,258865,943,66.1,0.03,0.015303503,2.2
5/4/20,511866,991,63.8,0,0.014890739,2.17
5/5/20,522085,987,55.2,0,0.014477974,2.17
5/6/20,508824,957,50.9,0.015,0.01406521,2.17
5/7/20,535073,970,57,0.009,0.013652445,2.17
5/8/20,526054,987,50.8,0.189,0.013239681,2.17
5/9/20,316883,861,42.7,0.1,0.012826916,2.17
5/10/20,271947,935,52,0,0.012414152,2.17
5/11/20,520873,948,53.6,0.022,0.012001387,2.16
5/12/20,553372,1003,52.7,0,0.011588623,2.16
5/13/20,565377,991,53.4,0,0.011175858,2.16
5/14/20,567392,1038,58.8,0,0.010763094,2.16
5/15/20,587808,1111,70.1,0.003,0.01035033,2.16
5/16/20,360844,1053,69.8,0.002,0.009937565,2.16
5/17/20,287418,926,60.1,0,0.009524801,2.16
5/18/20,595469,1030,61.2,0.009,0.009112036,2.16
5/19/20,610884,1064,60.3,0,0.008699272,2.16
5/20/20,623749,1090,57.5,0,0.008286507,2.16
5/21/20,629298,1137,57.4,0,0.007873743,2.16
5/22/20,633883,1169,63.7,0.001,0.007460978,2.16
5/23/20,335830,953,61.6,0.312,0.007048214,2.16
5/24/20,320015,921,60,0,0.006635449,2.16
5/25/20,393918,995,62.6,0,0.006222685,2.17
5/26/20,656766,1126,64.5,0,0.00580992,2.17
5/27/20,674465,1146,65.5,0,0.005397156,2.17
5/28/20,658057,1146,68.1,0,0.004984391,2.17
