Date,Ave. Temp,Precipitation
2023-03-0818:00:00-05:00,32,
2023-03-0806:00:00-05:00,45,
2023-03-0718:00:00-05:00,33,
2023-03-0706:00:00-05:00,50,30
2023-03-0618:00:00-05:00,39,30
2023-03-0606:00:00-05:00,51,
2023-03-0518:00:00-05:00,36,
2023-03-0506:00:00-05:00,50,
2023-03-0418:00:00-05:00,37,
2023-03-0406:00:00-05:00,47,100
2023-03-0318:00:00-05:00,40,100
2023-03-0306:00:00-05:00,45,40
2023-03-0218:00:00-05:00,35,
2023-03-0214:00:00-05:00,51,
2/28/23,35,0.34
2/27/23,39.5,0.21
2/26/23,40,0
2/25/23,28,
2/24/23,35,0
2/23/23,41,0.02
2/22/23,40.5,0.14
2/21/23,43.5,0.27
2/20/23,54,0
2/19/23,43.5,0
2/18/23,35,0
2/17/23,46.5,0.18
2/16/23,63,0.07
2/15/23,57,0
2/14/23,47,0
2/13/23,49,0
2/12/23,43,0.01
2/11/23,41,0
2/10/23,53,0
2/9/23,48.5,0
2/8/23,46,
2/7/23,36.5,0.02
2/6/23,43,0
2/5/23,38,0
2/4/23,15,0
2/3/23,23,0
2/2/23,34.5,0
2/1/23,32,0.02
1/31/23,40.5,0.06
1/30/23,49,0
1/29/23,47.5,0
1/28/23,44,0
1/27/23,39.5,0
1/26/23,49,0.44
1/25/23,44.5,0.9
1/24/23,40.5,0
1/23/23,37.5,0.41
1/22/23,39,0.51
1/21/23,39.5,
1/20/23,44.5,
1/19/23,42,0.87
1/18/23,47.5,0.05
1/17/23,41,
1/16/23,38,0
1/15/23,35.5,0
1/14/23,34.5,
1/13/23,47.5,0.09
1/12/23,46,0.3
1/11/23,37,0
1/10/23,39.5,0
1/9/23,40.5,0.01
1/8/23,37,0
1/7/23,41,0
1/6/23,44,0.27
1/5/23,47,0.01
1/4/23,57.5,0.02
1/3/23,52.5,0.42
1/2/23,52.5,0.02
1/1/23,52,
12/31/22,52.5,0.28
12/30/22,54,0
12/29/22,45.5,0
12/28/22,40,0
12/27/22,32,0
12/26/22,23.5,0
12/25/22,21,0
12/24/22,11,0
12/23/22,33,1.83
12/22/22,41,0.23
12/21/22,33.5,0
12/20/22,34.5,0
12/19/22,35,0
12/18/22,36,0
12/17/22,40,0
12/16/22,41,0.85
12/15/22,37.5,0.51
12/14/22,35,0
12/13/22,32.5,0
12/12/22,33,0.01
12/11/22,36.5,0.32
12/10/22,35.5,
12/9/22,40.5,0
12/8/22,48.5,0
12/7/22,56.5,0.26
12/6/22,50,1.05
12/5/22,42,0
12/4/22,41.5,0
12/3/22,51.5,0.49
12/2/22,39.5,0
12/1/22,39,0
11/30/22,49,0.5
11/29/22,40,0
11/28/22,47.5,
11/27/22,54,0.7
11/26/22,49.5,0
11/25/22,50.5,0.02
11/24/22,47,0
11/23/22,48.5,0
11/22/22,44,0
11/21/22,34,0
11/20/22,35,0
11/19/22,35.5,0
11/18/22,39,0
11/17/22,41.5,0
11/16/22,44.5,0.28
11/15/22,40.5,0.56
11/14/22,41,0
11/13/22,51,0.04
11/12/22,64.5,0.08
11/11/22,63.5,0.89
