date,ridership,barclays-center_event_occurred,blue-note-jazz-club_event_occurred,carnegie-hall_event_occurred,total_comedy,total_events,total_film-screenings,forest-hills-stadium_event_occurred,kings-theatre_event_occurred,madison-square-garden_event_occurred,metlife-stadium_event_occurred,total_music,radio-city-music-hall_event_occurred,terminal-5_event_occurred,the-bowery-ballroom_event_occurred,yankee-stadium_event_occurred,nyc_holiday,weather,high_temp,low_temp
2020-03-01,2212965.0,0,1,0,9.0,128.0,15,0,0,1,0,74.0,0,0,0,0,0,Few clouds,+41°,+27°
2020-03-02,5329915.0,1,1,0,8.0,71.0,12,0,0,1,0,37.0,0,0,0,0,0,Clear sky,+54°,+37°
2020-03-03,5481103.0,1,1,0,14.0,101.0,8,0,0,1,0,56.0,0,1,0,0,0,Overcast clouds,+57°,+52°
2020-03-04,5498809.0,1,1,0,10.0,108.0,10,0,0,1,0,59.0,0,0,1,0,0,Clear sky,+54°,+50°
2020-03-05,5496453.0,1,1,0,10.0,153.0,2,0,0,1,0,59.0,1,0,1,0,0,Clear sky,+50°,+45°
2020-03-06,5189447.0,1,1,0,15.0,197.0,2,0,0,1,0,112.0,0,0,1,0,0,Drizzle,+45°,+43°
2020-03-07,2814637.0,1,1,0,21.0,241.0,28,0,0,1,1,12.0,0,1,1,0,0,Clear sky,+45°,+37°
2020-03-08,2120656.0,1,1,0,13.0,174.0,25,0,0,1,1,70.0,0,0,0,0,0,Clear sky,+55°,+36°
2020-03-09,4973513.0,0,1,0,24.0,109.0,20,0,0,0,0,48.0,0,0,1,0,0,Clear sky,+66°,+48°
2020-03-10,4867818.0,0,1,0,22.0,161.0,23,0,0,1,0,83.0,1,0,1,0,0,Overcast clouds,+61°,+52°
2020-03-11,4697122.0,1,1,0,19.0,176.0,25,0,0,1,0,33.0,1,0,1,0,0,Broken clouds,+54°,+54°
2020-03-12,4149505.0,0,1,0,18.0,192.0,4,0,0,0,0,4.0,0,0,1,0,0,Overcast clouds,+50°,+45°
2020-03-13,3484996.0,0,1,0,29.0,198.0,3,0,0,0,0,15.0,0,0,0,0,0,Partly cloudy,+64°,+48°
2020-03-14,1670665.0,0,1,0,29.0,235.0,23,0,0,0,1,48.0,0,0,0,0,0,Few clouds,+54°,+48°
