date,ridership
1/1/2020,
1/2/2020,
1/3/2020,
1/4/2020,
1/5/2020,
1/6/2020,
1/7/2020,
1/8/2020,
1/9/2020,
1/10/2020,
1/11/2020,
1/12/2020,
1/13/2020,
1/14/2020,
1/15/2020,
1/16/2020,
1/17/2020,
1/18/2020,
1/19/2020,
1/20/2020,
1/21/2020,
1/22/2020,
1/23/2020,
1/24/2020,
1/25/2020,
1/26/2020,
1/27/2020,
1/28/2020,
1/29/2020,
1/30/2020,
1/31/2020,
2/1/2020,
2/2/2020,
2/3/2020,
2/4/2020,
2/5/2020,
2/6/2020,
2/7/2020,
2/8/2020,
2/9/2020,
2/10/2020,
2/11/2020,
2/12/2020,
2/13/2020,
2/14/2020,
2/15/2020,
2/16/2020,
2/17/2020,
2/18/2020,
2/19/2020,
2/20/2020,
2/21/2020,
2/22/2020,
2/23/2020,
2/24/2020,
2/25/2020,
2/26/2020,
2/27/2020,
2/28/2020,
2/29/2020,
3/1/2020,2212965
3/2/2020,5329915
3/3/2020,5481103
3/4/2020,5498809
3/5/2020,5496453
3/6/2020,5189447
3/7/2020,2814637
3/8/2020,2120656
3/9/2020,4973513
3/10/2020,4867818
3/11/2020,4697122
3/12/2020,4149505
3/13/2020,3484996
3/14/2020,1670665
3/15/2020,1157711
3/16/2020,2178555
3/17/2020,1788786
3/18/2020,1625280
3/19/2020,1422112
3/20/2020,1309125
3/21/2020,619618
3/22/2020,408723
3/23/2020,709499
3/24/2020,741587
3/25/2020,690032
3/26/2020,680360
3/27/2020,656817
3/28/2020,332393
3/29/2020,263700
3/30/2020,545215
3/31/2020,508106
4/1/2020,513481
4/2/2020,485586
4/3/2020,483357
4/4/2020,282278
4/5/2020,227303
4/6/2020,445454
4/7/2020,434986
4/8/2020,427485
4/9/2020,404635
4/10/2020,400275
4/11/2020,257061
4/12/2020,198399
4/13/2020,363312
4/14/2020,430155
4/15/2020,419059
4/16/2020,420223
4/17/2020,432368
4/18/2020,254453
4/19/2020,224411
4/20/2020,437852
4/21/2020,422107
4/22/2020,458781
4/23/2020,453520
4/24/2020,443956
4/25/2020,295387
4/26/2020,218787
4/27/2020,462888
4/28/2020,489247
4/29/2020,477799
4/30/2020,465869
5/1/2020,494549
5/2/2020,325865
5/3/2020,258865
5/4/2020,511866
5/5/2020,522085
5/6/2020,508824
5/7/2020,535073
5/8/2020,526054
5/9/2020,316883
5/10/2020,271947
5/11/2020,520873
5/12/2020,553372
5/13/2020,565377
5/14/2020,567392
5/15/2020,587808
5/16/2020,360844
5/17/2020,287418
5/18/2020,595469
5/19/2020,610884
5/20/2020,623749
5/21/2020,629298
5/22/2020,633883
5/23/2020,335830
5/24/2020,320015
5/25/2020,393918
5/26/2020,656766
5/27/2020,674465
5/28/2020,658057
5/29/2020,657259
5/30/2020,426737
5/31/2020,344426
6/1/2020,687162
6/2/2020,693760
6/3/2020,681714
6/4/2020,726672
6/5/2020,703576
6/6/2020,464198
6/7/2020,377990
6/8/2020,804542
6/9/2020,842306
6/10/2020,857015
6/11/2020,818297
6/12/2020,896658
6/13/2020,545316
6/14/2020,430439
6/15/2020,897112
6/16/2020,932671
6/17/2020,948461
6/18/2020,942382
6/19/2020,986929
6/20/2020,576075
6/21/2020,449497
6/22/2020,1000046
6/23/2020,1050786
6/24/2020,1068333
6/25/2020,1078796
6/26/2020,1102382
6/27/2020,615398
6/28/2020,535898
6/29/2020,1100769
6/30/2020,1113124
7/1/2020,1120537
7/2/2020,1170483
7/3/2020,851877
7/4/2020,591605
7/5/2020,533692
7/6/2020,1084956
7/7/2020,1157185
7/8/2020,1172279
7/9/2020,1211280
7/10/2020,1030632
7/11/2020,692977
7/12/2020,628187
7/13/2020,1175700
7/14/2020,1241080
7/15/2020,1248413
7/16/2020,1249128
7/17/2020,1207265
7/18/2020,778936
7/19/2020,584994
7/20/2020,1156735
7/21/2020,1241819
7/22/2020,1233668
7/23/2020,1233795
7/24/2020,1218138
7/25/2020,816604
7/26/2020,606910
7/27/2020,1203503
7/28/2020,1241770
7/29/2020,1296102
7/30/2020,1270172
7/31/2020,1258539
8/1/2020,842468
8/2/2020,590060
8/3/2020,1272996
8/4/2020,1027187
8/5/2020,1348202
8/6/2020,1334694
8/7/2020,1283894
8/8/2020,833287
8/9/2020,662993
8/10/2020,1275268
8/11/2020,1319814
8/12/2020,1298963
8/13/2020,1291277
8/14/2020,1355786
8/15/2020,860789
8/16/2020,554451
8/17/2020,1304485
8/18/2020,1369617
8/19/2020,1292148
8/20/2020,1410489
8/21/2020,1387463
8/22/2020,882522
8/23/2020,671560
8/24/2020,1307345
8/25/2020,1346490
8/26/2020,1407639
8/27/2020,1358272
8/28/2020,1388583
8/29/2020,773667
8/30/2020,748061
8/31/2020,1397264
9/1/2020,1469274
9/2/2020,1487969
9/3/2020,1529185
9/4/2020,1568385
9/5/2020,1013725
9/6/2020,819409
9/7/2020,870964
9/8/2020,1555816
9/9/2020,1610076
9/10/2020,1543662
9/11/2020,1690334
9/12/2020,1083698
9/13/2020,796740
9/14/2020,1604381
9/15/2020,1678078
9/16/2020,1686909
9/17/2020,1692368
9/18/2020,1725443
9/19/2020,1136947
9/20/2020,827605
9/21/2020,1624139
9/22/2020,1698504
9/23/2020,1735333
9/24/2020,1722364
9/25/2020,1761591
9/26/2020,1120143
9/27/2020,846179
9/28/2020,1489240
