date,total_music
2020-01-01,14.0
2020-01-02,35.0
2020-01-03,20.0
2020-01-04,62.0
2020-01-05,49.0
2020-01-06,41.0
2020-01-07,59.0
2020-01-08,64.0
2020-01-09,88.0
2020-01-10,103.0
2020-01-11,10.0
2020-01-12,81.0
2020-01-13,51.0
2020-01-14,59.0
2020-01-15,72.0
2020-01-16,97.0
2020-01-17,104.0
2020-01-18,119.0
2020-01-19,71.0
2020-01-20,50.0
2020-01-21,70.0
2020-01-22,0.0
2020-01-23,89.0
2020-01-24,114.0
2020-01-25,14.0
2020-01-26,66.0
2020-01-27,49.0
2020-01-28,77.0
2020-01-29,13.0
2020-01-30,95.0
2020-01-31,11.0
2020-02-01,32.0
2020-02-02,47.0
2020-02-03,44.0
2020-02-04,17.0
2020-02-05,15.0
2020-02-06,103.0
2020-02-07,116.0
2020-02-08,31.0
2020-02-09,82.0
2020-02-10,53.0
2020-02-11,80.0
2020-02-12,85.0
2020-02-13,0.0
2020-02-14,32.0
2020-02-15,138.0
2020-02-16,10.0
2020-02-17,55.0
2020-02-18,69.0
2020-02-19,75.0
2020-02-20,15.0
2020-02-21,116.0
2020-02-22,36.0
2020-02-23,73.0
2020-02-24,48.0
2020-02-25,56.0
2020-02-26,61.0
2020-02-27,95.0
2020-02-28,21.0
2020-02-29,119.0
2020-03-01,74.0
2020-03-02,37.0
2020-03-03,56.0
2020-03-04,59.0
2020-03-05,59.0
2020-03-06,112.0
2020-03-07,12.0
2020-03-08,70.0
2020-03-09,48.0
2020-03-10,83.0
2020-03-11,33.0
2020-03-12,4.0
2020-03-13,15.0
2020-03-14,48.0
2020-03-15,44.0
2020-03-16,47.0
2020-03-17,56.0
2020-03-18,65.0
2020-03-19,11.0
2020-03-20,95.0
2020-03-21,7.0
2020-03-22,74.0
2020-03-23,42.0
2020-03-24,47.0
2020-03-25,74.0
2020-03-26,72.0
2020-03-27,104.0
2020-03-28,109.0
2020-03-29,71.0
2020-03-30,43.0
2020-03-31,46.0
2020-04-01,72.0
2020-04-02,81.0
2020-04-03,102.0
2020-04-04,29.0
2020-04-05,82.0
2020-04-06,35.0
2020-04-07,59.0
2020-04-08,40.0
2020-04-09,55.0
2020-04-10,11.0
2020-04-11,89.0
2020-04-12,35.0
2020-04-13,40.0
2020-04-14,39.0
2020-04-15,58.0
2020-04-16,66.0
2020-04-17,88.0
2020-04-18,96.0
2020-04-19,65.0
2020-04-20,38.0
2020-04-21,54.0
2020-04-22,48.0
2020-04-23,69.0
2020-04-24,72.0
2020-04-25,106.0
2020-04-26,75.0
2020-04-27,31.0
2020-04-28,45.0
2020-04-29,57.0
