date,weather,high_temp,low_temp
2020-03-01,Few clouds,+41°,+27°
2020-03-02,Clear sky,+54°,+37°
2020-03-03,Overcast clouds,+57°,+52°
2020-03-04,Clear sky,+54°,+50°
2020-03-05,Clear sky,+50°,+45°
2020-03-06,Drizzle,+45°,+43°
2020-03-07,Clear sky,+45°,+37°
2020-03-08,Clear sky,+55°,+36°
2020-03-09,Clear sky,+66°,+48°
2020-03-10,Overcast clouds,+61°,+52°
2020-03-11,Broken clouds,+54°,+54°
2020-03-12,Overcast clouds,+50°,+45°
2020-03-13,Partly cloudy,+64°,+48°
2020-03-14,Few clouds,+54°,+48°
2020-03-15,Clear sky,+52°,+45°
2020-03-16,Broken clouds,+45°,+39°
2020-03-17,Drizzle,+52°,+43°
2020-03-18,Broken clouds,+52°,+46°
2020-03-19,Overcast clouds,+54°,+45°
2020-03-20,Light intensity drizzle,+68°,+50°
2020-03-21,Clear sky,+50°,+57°
2020-03-22,Broken clouds,+41°,+39°
2020-03-23,Heavy intensity rain,+36°,+37°
2020-03-24,Broken clouds,+54°,+39°
2020-03-25,Drizzle,+45°,+43°
2020-03-26,Clear sky,+55°,+41°
2020-03-27,Clear sky,+64°,+50°
2020-03-28,Heavy intensity rain,+48°,+50°
2020-03-29,Drizzle,+52°,+46°
2020-03-30,Broken clouds,+52°,+46°
2020-03-31,Overcast clouds,+46°,+45°
2020-04-01,Broken clouds,+52°,+41°
2020-04-02,Overcast clouds,+55°,+43°
2020-04-03,Light intensity drizzle,+48°,+46°
2020-04-04,Overcast clouds,+55°,+48°
2020-04-05,Overcast clouds,+61°,+48°
2020-04-06,Clear sky,+63°,+52°
2020-04-07,Broken clouds,+64°,+54°
2020-04-08,Clear sky,+64°,+54°
2020-04-09,Moderate rain,+57°,+50°
2020-04-10,Broken clouds,+48°,+45°
2020-04-11,Broken clouds,+52°,+41°
2020-04-12,Broken clouds,+55°,+46°
2020-04-13,Heavy intensity rain,+57°,+57°
2020-04-14,Clear sky,+55°,+54°
2020-04-15,Few clouds,+50°,+46°
2020-04-16,Partly cloudy,+46°,+46°
2020-04-17,Overcast clouds,+48°,+41°
2020-04-18,Light intensity drizzle,+43°,+43°
2020-04-19,Clear sky,+59°,+43°
2020-04-20,Overcast clouds,+55°,+54°
2020-04-21,Moderate rain,+55°,+48°
2020-04-22,Broken clouds,+48°,+39°
2020-04-23,Broken clouds,+48°,+41°
2020-04-24,Light intensity drizzle,+46°,+45°
2020-04-25,Broken clouds,+61°,+45°
2020-04-26,Heavy intensity rain,+46°,+50°
2020-04-27,Drizzle,+46°,+43°
2020-04-28,Clear sky,+63°,+43°
2020-04-29,Overcast clouds,+57°,+48°
2020-04-30,Light intensity drizzle,+57°,+52°
2020-05-01,Broken clouds,+63°,+55°
2020-05-02,Few clouds,+70°,+55°
2020-05-03,Partly cloudy,+75°,+61°
2020-05-04,Partly cloudy,+66°,+64°
2020-05-05,Overcast clouds,+59°,+50°
2020-05-06,Drizzle,+52°,+50°
2020-05-07,Broken clouds,+63°,+48°
2020-05-08,Light intensity drizzle,+50°,+52°
2020-05-09,Partly cloudy,+46°,+37°
2020-05-10,Overcast clouds,+59°,+41°
2020-05-11,Few clouds,+57°,+52°
2020-05-12,Clear sky,+57°,+45°
2020-05-13,Overcast clouds,+59°,+45°
2020-05-14,Partly cloudy,+63°,+48°
2020-05-15,Broken clouds,+81°,+61°
2020-05-16,Broken clouds,+73°,+70°
2020-05-17,Broken clouds,+64°,+57°
2020-05-18,Broken clouds,+68°,+55°
2020-05-19,Broken clouds,+64°,+57°
2020-05-20,Broken clouds,+64°,+54°
2020-05-21,Clear sky,+66°,+50°
2020-05-22,Broken clouds,+72°,+57°
2020-05-23,Heavy intensity rain,+68°,+63°
2020-05-24,Broken clouds,+66°,+55°
2020-05-25,Overcast clouds,+68°,+57°
2020-05-26,Few clouds,+75°,+61°
2020-05-27,Broken clouds,+73°,+63°
2020-05-28,Overcast clouds,+72°,+64°
2020-05-29,Broken clouds,+77°,+66°
2020-05-30,Clear sky,+81°,+68°
2020-05-31,Clear sky,+70°,+63°
2020-06-01,Broken clouds,+68°,+54°
2020-06-02,Overcast clouds,+70°,+61°
2020-06-03,Light intensity drizzle,+79°,+63°
2020-06-04,Few clouds,+84°,+70°
2020-06-05,Drizzle,+75°,+70°
2020-06-06,Broken clouds,+84°,+70°
2020-06-07,Few clouds,+75°,+68°
2020-06-08,Clear sky,+75°,+63°
2020-06-09,Clear sky,+86°,+66°
2020-06-10,Broken clouds,+79°,+75°
2020-06-11,Heavy intensity rain,+79°,+73°
2020-06-12,Few clouds,+84°,+72°
2020-06-13,Clear sky,+72°,+66°
2020-06-14,Few clouds,+70°,+59°
2020-06-15,Broken clouds,+73°,+63°
2020-06-16,Partly cloudy,+75°,+61°
2020-06-17,Broken clouds,+77°,+63°
2020-06-18,Drizzle,+73°,+66°
2020-06-19,Broken clouds,+79°,+68°
2020-06-20,Broken clouds,+82°,+70°
2020-06-21,Clear sky,+84°,+72°
2020-06-22,Clear sky,+88°,+73°
2020-06-23,Broken clouds,+84°,+75°
2020-06-24,Partly cloudy,+88°,+75°
2020-06-25,Broken clouds,+86°,+73°
2020-06-26,Clear sky,+86°,+72°
2020-06-27,Overcast clouds,+82°,+75°
2020-06-28,Moderate rain,+84°,+75°
2020-06-29,Few clouds,+84°,+72°
2020-06-30,Moderate rain,+77°,+70°
2020-07-01,Few clouds,+81°,+70°
2020-07-02,Clear sky,+90°,+72°
2020-07-03,Partly cloudy,+90°,+79°
2020-07-04,Few clouds,+84°,+70°
2020-07-05,Partly cloudy,+90°,+73°
2020-07-06,Clear sky,+90°,+79°
2020-07-07,Partly cloudy,+81°,+72°
2020-07-08,Broken clouds,+82°,+75°
2020-07-09,Clear sky,+88°,+75°
2020-07-10,Thunderstorm with heavy rain,+73°,+75°
2020-07-11,Moderate rain,+81°,+73°
2020-07-12,Clear sky,+88°,+75°
2020-07-13,Clear sky,+86°,+75°
2020-07-14,Partly cloudy,+84°,+73°
2020-07-15,Light intensity shower rain,+77°,+73°
2020-07-16,Few clouds,+75°,+70°
2020-07-17,Moderate rain,+81°,+70°
2020-07-18,Partly cloudy,+90°,+75°
2020-07-19,Few clouds,+91°,+77°
2020-07-20,Partly cloudy,+95°,+81°
2020-07-21,Few clouds,+91°,+81°
2020-07-22,Few clouds,+88°,+79°
2020-07-23,Light intensity shower rain,+86°,+75°
2020-07-24,Moderate rain,+75°,+77°
2020-07-25,Partly cloudy,+86°,+73°
2020-07-26,Partly cloudy,+93°,+79°
2020-07-27,Partly cloudy,+95°,+79°
2020-07-28,Broken clouds,+91°,+84°
2020-07-29,Few clouds,+88°,+79°
2020-07-30,Broken clouds,+91°,+79°
2020-07-31,Light intensity drizzle,+75°,+77°
2020-08-01,Few clouds,+84°,+73°
2020-08-02,Heavy rain in places,+82°,+75°
2020-08-03,Clear sky,+88°,+82°
2020-08-04,Moderate rain,+77°,+77°
2020-08-05,Clear sky,+86°,+75°
2020-08-06,Heavy rain in places,+79°,+72°
2020-08-07,Partly cloudy,+79°,+72°
2020-08-08,Light rain,+79°,+70°
2020-08-09,Partly cloudy,+82°,+72°
2020-08-10,Few clouds,+90°,+77°
2020-08-11,Few clouds,+86°,+79°
2020-08-12,Broken clouds,+88°,+77°
2020-08-13,Heavy intensity rain,+77°,+77°
2020-08-14,Broken clouds,+84°,+73°
2020-08-15,Broken clouds,+84°,+73°
2020-08-16,Heavy intensity rain,+70°,+70°
2020-08-17,Clear sky,+79°,+66°
2020-08-18,Few clouds,+82°,+68°
2020-08-19,Heavy rain in places,+73°,+70°
2020-08-20,Clear sky,+79°,+68°
2020-08-21,Broken clouds,+82°,+68°
2020-08-22,Few clouds,+86°,+75°
2020-08-23,Few clouds,+82°,+75°
2020-08-24,Few clouds,+88°,+75°
2020-08-25,Few clouds,+91°,+77°
2020-08-26,Broken clouds,+79°,+72°
2020-08-27,Clear sky,+90°,+72°
2020-08-28,Partly cloudy,+86°,+73°
2020-08-29,Heavy intensity rain,+75°,+75°
2020-08-30,Broken clouds,+77°,+72°
2020-08-31,Broken clouds,+73°,+66°
2020-09-01,Partly cloudy,+75°,+70°
2020-09-02,Heavy intensity rain,+75°,+70°
2020-09-03,Few clouds,+82°,+75°
2020-09-04,Clear sky,+82°,+73°
2020-09-05,Partly cloudy,+77°,+70°
2020-09-06,Partly cloudy,+79°,+68°
2020-09-07,Few clouds,+77°,+70°
2020-09-08,Clear sky,+82°,+70°
2020-09-09,Broken clouds,+81°,+70°
2020-09-10,Drizzle,+79°,+73°
2020-09-11,Partly cloudy,+73°,+73°
2020-09-12,Broken clouds,+70°,+64°
2020-09-13,Overcast clouds,+73°,+64°
2020-09-14,Clear sky,+77°,+70°
2020-09-15,Clear sky,+66°,+59°
2020-09-16,Clear sky,+72°,+59°
2020-09-17,Overcast clouds,+73°,+64°
2020-09-18,Overcast clouds,+68°,+64°
2020-09-19,Clear sky,+63°,+55°
2020-09-20,Broken clouds,+61°,+52°
2020-09-21,Clear sky,+64°,+54°
2020-09-22,Clear sky,+72°,+54°
2020-09-23,Clear sky,+79°,+59°
2020-09-24,Broken clouds,+77°,+64°
2020-09-25,Broken clouds,+75°,+64°
2020-09-26,Moderate rain,+72°,+64°
2020-09-27,Clear sky,+77°,+68°
2020-09-28,Light intensity shower rain,+75°,+70°
2020-09-29,Heavy intensity rain,+72°,+70°
2020-09-30,Few clouds,+70°,+70°
2020-10-01,Broken clouds,+72°,+63°
2020-10-02,Light intensity shower rain,+63°,+61°
2020-10-03,Clear sky,+64°,+55°
2020-10-04,Overcast clouds,+64°,+55°
2020-10-05,Partly cloudy,+68°,+57°
2020-10-06,Broken clouds,+68°,+59°
2020-10-07,Clear sky,+73°,+61°
2020-10-08,Clear sky,+63°,+59°
2020-10-09,Broken clouds,+66°,+54°
2020-10-10,Broken clouds,+72°,+61°
2020-10-11,Overcast clouds,+64°,+66°
2020-10-12,Heavy intensity rain,+52°,+55°
2020-10-13,Drizzle,+57°,+55°
2020-10-14,Clear sky,+66°,+55°
2020-10-15,Partly cloudy,+70°,+57°
2020-10-16,Heavy intensity rain,+54°,+64°
2020-10-17,Clear sky,+57°,+48°
2020-10-18,Broken clouds,+61°,+50°
2020-10-19,Broken clouds,+64°,+54°
2020-10-20,Broken clouds,+64°,+59°
2020-10-21,Drizzle,+66°,+61°
2020-10-22,Overcast clouds,+68°,+64°
2020-10-23,Broken clouds,+66°,+64°
2020-10-24,Broken clouds,+68°,+63°
2020-10-25,Overcast clouds,+50°,+48°
2020-10-26,Drizzle,+57°,+52°
2020-10-27,Partly cloudy,+57°,+59°
2020-10-28,Overcast clouds,+55°,+54°
2020-10-29,Heavy intensity rain,+48°,+54°
2020-10-30,Light intensity drizzle,+39°,+45°
2020-10-31,Few clouds,+45°,+37°
2020-11-01,Drizzle,+54°,+43°
2020-11-02,Partly cloudy,+41°,+43°
2020-11-03,Overcast clouds,+52°,+39°
2020-11-04,Few clouds,+59°,+45°
