date,total_events
2020-01-01,50.0
2020-01-02,72.0
2020-01-03,116.0
2020-01-04,141.0
2020-01-05,124.0
2020-01-06,102.0
2020-01-07,121.0
2020-01-08,136.0
2020-01-09,143.0
2020-01-10,205.0
2020-01-11,223.0
2020-01-12,172.0
2020-01-13,98.0
2020-01-14,124.0
2020-01-15,131.0
2020-01-16,170.0
2020-01-17,179.0
2020-01-18,226.0
2020-01-19,126.0
2020-01-20,116.0
2020-01-21,128.0
2020-01-22,154.0
2020-01-23,164.0
2020-01-24,191.0
2020-01-25,242.0
2020-01-26,0.0
2020-01-27,111.0
2020-01-28,131.0
2020-01-29,140.0
2020-01-30,164.0
2020-01-31,212.0
2020-02-01,220.0
2020-02-02,129.0
2020-02-03,99.0
2020-02-04,108.0
2020-02-05,139.0
2020-02-06,177.0
2020-02-07,216.0
2020-02-08,249.0
2020-02-09,167.0
2020-02-10,99.0
2020-02-11,124.0
2020-02-12,146.0
2020-02-13,169.0
2020-02-14,238.0
2020-02-15,243.0
2020-02-16,142.0
2020-02-17,97.0
2020-02-18,102.0
2020-02-19,130.0
2020-02-20,145.0
2020-02-21,198.0
2020-02-22,222.0
2020-02-23,134.0
2020-02-24,97.0
2020-02-25,125.0
2020-02-26,125.0
2020-02-27,172.0
2020-02-28,197.0
2020-02-29,223.0
2020-03-01,128.0
2020-03-02,71.0
2020-03-03,101.0
2020-03-04,108.0
2020-03-05,153.0
2020-03-06,197.0
2020-03-07,241.0
2020-03-08,174.0
2020-03-09,109.0
2020-03-10,161.0
2020-03-11,176.0
2020-03-12,192.0
2020-03-13,198.0
2020-03-14,235.0
2020-03-15,143.0
2020-03-16,110.0
2020-03-17,126.0
2020-03-18,128.0
2020-03-19,98.0
2020-03-20,202.0
2020-03-21,231.0
2020-03-22,137.0
2020-03-23,109.0
2020-03-24,118.0
2020-03-25,174.0
2020-03-26,187.0
2020-03-27,238.0
2020-03-28,227.0
2020-03-29,153.0
2020-03-30,136.0
2020-03-31,119.0
2020-04-01,171.0
2020-04-02,181.0
2020-04-03,224.0
2020-04-04,193.0
2020-04-05,143.0
2020-04-06,98.0
2020-04-07,123.0
2020-04-08,109.0
2020-04-09,133.0
2020-04-10,182.0
2020-04-11,173.0
2020-04-12,67.0
2020-04-13,99.0
2020-04-14,110.0
2020-04-15,119.0
2020-04-16,148.0
2020-04-17,189.0
2020-04-18,171.0
2020-04-19,124.0
2020-04-20,117.0
2020-04-21,111.0
2020-04-22,107.0
2020-04-23,133.0
2020-04-24,155.0
2020-04-25,186.0
2020-04-26,119.0
2020-04-27,77.0
2020-04-28,83.0
2020-04-29,110.0
2020-04-30,119.0
2020-05-01,144.0
2020-05-02,139.0
2020-05-03,85.0
2020-05-04,57.0
2020-05-05,88.0
2020-05-06,84.0
2020-05-07,118.0
2020-05-08,127.0
2020-05-09,133.0
2020-05-10,66.0
2020-05-11,58.0
2020-05-12,75.0
2020-05-13,75.0
2020-05-14,114.0
2020-05-15,125.0
2020-05-16,145.0
2020-05-17,79.0
2020-05-18,58.0
2020-05-19,61.0
2020-05-20,83.0
2020-05-21,83.0
2020-05-22,92.0
2020-05-23,85.0
2020-05-24,62.0
2020-05-25,46.0
2020-05-26,25.0
2020-05-27,73.0
2020-05-28,100.0
2020-05-29,89.0
2020-05-30,103.0
2020-05-31,67.0
2020-06-01,43.0
2020-06-02,51.0
2020-06-03,62.0
2020-06-04,76.0
2020-06-05,90.0
2020-06-06,93.0
2020-06-07,52.0
2020-06-08,38.0
2020-06-09,56.0
2020-06-10,70.0
2020-06-11,65.0
2020-06-12,88.0
2020-06-13,74.0
2020-06-14,55.0
2020-06-15,45.0
2020-06-16,75.0
2020-06-17,76.0
2020-06-18,93.0
2020-06-19,118.0
2020-06-20,92.0
2020-06-21,81.0
2020-06-22,49.0
2020-06-23,48.0
2020-06-24,66.0
2020-06-25,65.0
2020-06-26,59.0
2020-06-27,53.0
2020-06-28,38.0
2020-06-29,38.0
2020-06-30,28.0
2020-07-01,35.0
2020-07-02,47.0
2020-07-03,47.0
2020-07-04,44.0
2020-07-05,32.0
2020-07-06,46.0
2020-07-07,58.0
2020-07-08,38.0
2020-07-09,87.0
2020-07-10,62.0
2020-07-11,22.0
2020-07-12,38.0
2020-07-13,40.0
2020-07-14,54.0
2020-07-15,80.0
2020-07-16,112.0
2020-07-17,0.0
2020-07-18,77.0
2020-07-19,48.0
2020-07-20,64.0
2020-07-21,66.0
2020-07-22,107.0
2020-07-23,122.0
2020-07-24,99.0
2020-07-25,93.0
2020-07-26,63.0
2020-07-27,64.0
2020-07-28,68.0
2020-07-29,84.0
2020-07-30,104.0
2020-07-31,93.0
2020-08-01,86.0
2020-08-02,47.0
2020-08-03,20.0
2020-08-04,50.0
2020-08-05,34.0
2020-08-06,92.0
2020-08-07,70.0
2020-08-08,37.0
2020-08-09,28.0
2020-08-10,20.0
2020-08-11,28.0
2020-08-12,32.0
2020-08-13,35.0
2020-08-14,40.0
2020-08-15,29.0
2020-08-16,18.0
2020-08-17,14.0
2020-08-18,24.0
2020-08-19,34.0
2020-08-20,29.0
2020-08-21,32.0
2020-08-22,37.0
2020-08-23,20.0
2020-08-24,13.0
2020-08-25,21.0
2020-08-26,26.0
2020-08-27,32.0
2020-08-28,23.0
2020-08-29,30.0
2020-08-30,17.0
2020-08-31,12.0
2020-09-01,21.0
2020-09-02,19.0
2020-09-03,27.0
2020-09-04,23.0
2020-09-05,23.0
2020-09-06,13.0
2020-09-07,3.0
2020-09-08,13.0
2020-09-09,20.0
2020-09-10,22.0
2020-09-11,25.0
2020-09-12,27.0
2020-09-13,24.0
2020-09-14,10.0
2020-09-15,34.0
2020-09-16,17.0
2020-09-17,29.0
2020-09-18,37.0
2020-09-19,29.0
2020-09-20,11.0
2020-09-21,13.0
2020-09-22,19.0
2020-09-23,20.0
2020-09-24,36.0
2020-09-25,36.0
2020-09-26,36.0
2020-09-27,16.0
2020-09-28,17.0
2020-09-29,16.0
2020-09-30,19.0
2020-10-01,26.0
2020-10-02,28.0
2020-10-03,25.0
2020-10-04,20.0
2020-10-05,14.0
2020-10-06,10.0
2020-10-07,20.0
2020-10-08,21.0
2020-10-09,28.0
2020-10-10,24.0
2020-10-11,15.0
2020-10-12,16.0
2020-10-13,21.0
2020-10-14,24.0
2020-10-15,26.0
2020-10-16,32.0
2020-10-17,31.0
2020-10-18,28.0
2020-10-19,15.0
2020-10-20,19.0
2020-10-21,31.0
2020-10-22,72.0
2020-10-23,67.0
2020-10-24,59.0
2020-10-25,34.0
2020-10-26,21.0
2020-10-27,17.0
2020-10-28,40.0
2020-10-29,38.0
2020-10-30,44.0
2020-10-31,47.0
2020-11-01,20.0
2020-11-02,19.0
2020-11-03,22.0
2020-11-04,64.0
2020-11-05,19.0
2020-11-06,32.0
2020-11-07,21.0
2020-11-08,20.0
2020-11-09,27.0
2020-11-10,60.0
2020-11-11,27.0
2020-11-12,35.0
2020-11-13,25.0
2020-11-14,44.0
2020-11-15,12.0
2020-11-16,10.0
2020-11-17,28.0
2020-11-18,52.0
2020-11-19,27.0
2020-11-20,42.0
2020-11-21,25.0
2020-11-22,15.0
2020-11-23,25.0
2020-11-24,25.0
2020-11-25,29.0
2020-11-26,10.0
2020-11-27,16.0
2020-11-28,22.0
2020-11-29,12.0
2020-11-30,35.0
2020-12-01,39.0
2020-12-02,43.0
2020-12-03,36.0
2020-12-04,19.0
2020-12-05,30.0
2020-12-06,23.0
2020-12-07,35.0
2020-12-08,59.0
2020-12-09,33.0
2020-12-10,51.0
2020-12-11,27.0
2020-12-12,31.0
2020-12-13,28.0
2020-12-14,46.0
2020-12-15,63.0
2020-12-16,26.0
2020-12-17,24.0
2020-12-18,25.0
2020-12-19,32.0
2020-12-20,13.0
2020-12-21,32.0
2020-12-22,36.0
2020-12-23,32.0
2020-12-24,10.0
2020-12-25,8.0
2020-12-26,11.0
2020-12-27,9.0
2020-12-28,19.0
2020-12-29,27.0
2020-12-30,29.0
2020-12-31,77.0
2021-01-01,24.0
2021-01-02,3.0
2021-01-03,2.0
2021-01-04,15.0
2021-01-05,24.0
2021-01-06,35.0
2021-01-07,15.0
2021-01-08,16.0
2021-01-09,12.0
2021-01-10,6.0
2021-01-11,12.0
2021-01-12,14.0
2021-01-13,29.0
2021-01-14,18.0
2021-01-15,13.0
2021-01-16,16.0
2021-01-17,13.0
2021-01-18,14.0
2021-01-19,17.0
2021-01-20,18.0
2021-01-21,16.0
2021-01-22,17.0
2021-01-23,14.0
2021-01-24,11.0
2021-01-25,11.0
2021-01-26,25.0
2021-01-27,32.0
2021-01-28,25.0
2021-01-29,23.0
2021-01-30,20.0
2021-01-31,13.0
2021-02-01,10.0
2021-02-02,12.0
2021-02-03,20.0
2021-02-04,16.0
2021-02-05,17.0
2021-02-06,13.0
2021-02-07,8.0
2021-02-08,9.0
2021-02-09,12.0
2021-02-10,19.0
2021-02-11,29.0
2021-02-12,23.0
2021-02-13,33.0
2021-02-14,16.0
2021-02-15,15.0
2021-02-16,17.0
2021-02-17,20.0
2021-02-18,27.0
2021-02-19,35.0
2021-02-20,33.0
2021-02-21,17.0
2021-02-22,13.0
2021-02-23,23.0
2021-02-24,18.0
2021-02-25,22.0
2021-02-26,18.0
2021-02-27,28.0
2021-02-28,17.0
2021-03-01,13.0
2021-03-02,13.0
2021-03-03,7.0
2021-03-04,27.0
2021-03-05,38.0
2021-03-06,26.0
2021-03-07,12.0
2021-03-08,21.0
2021-03-09,10.0
2021-03-10,17.0
2021-03-11,20.0
2021-03-12,28.0
2021-03-13,27.0
2021-03-14,10.0
2021-03-15,14.0
2021-03-16,13.0
2021-03-17,30.0
2021-03-18,13.0
2021-03-19,24.0
2021-03-20,21.0
2021-03-21,26.0
2021-03-22,11.0
2021-03-23,17.0
2021-03-24,11.0
2021-03-25,35.0
2021-03-26,42.0
2021-03-27,17.0
2021-03-28,9.0
2021-03-29,17.0
2021-03-30,33.0
2021-03-31,25.0
2021-04-01,24.0
2021-04-02,18.0
2021-04-03,21.0
2021-04-04,18.0
2021-04-05,15.0
2021-04-06,29.0
2021-04-07,36.0
2021-04-08,31.0
2021-04-09,35.0
2021-04-10,38.0
2021-04-11,24.0
2021-04-12,24.0
2021-04-13,27.0
2021-04-14,24.0
2021-04-15,52.0
2021-04-16,39.0
2021-04-17,51.0
2021-04-18,27.0
2021-04-19,23.0
2021-04-20,49.0
2021-04-21,35.0
2021-04-22,56.0
2021-04-23,39.0
2021-04-24,46.0
2021-04-25,29.0
2021-04-26,23.0
2021-04-27,31.0
2021-04-28,34.0
2021-04-29,41.0
2021-04-30,36.0
2021-05-01,26.0
2021-05-02,21.0
2021-05-03,13.0
2021-05-04,20.0
2021-05-05,25.0
2021-05-06,36.0
2021-05-07,21.0
2021-05-08,22.0
2021-05-09,21.0
2021-05-10,14.0
2021-05-11,16.0
2021-05-12,16.0
2021-05-13,47.0
2021-05-14,38.0
2021-05-15,42.0
2021-05-16,27.0
2021-05-17,17.0
2021-05-18,22.0
2021-05-19,36.0
2021-05-20,43.0
2021-05-21,54.0
2021-05-22,65.0
2021-05-23,48.0
2021-05-24,19.0
2021-05-25,25.0
2021-05-26,33.0
2021-05-27,52.0
2021-05-28,45.0
2021-05-29,58.0
2021-05-30,44.0
2021-05-31,23.0
2021-06-01,23.0
2021-06-02,26.0
2021-06-03,36.0
2021-06-04,43.0
2021-06-05,51.0
2021-06-06,36.0
2021-06-07,19.0
2021-06-08,21.0
2021-06-09,33.0
2021-06-10,29.0
2021-06-11,50.0
2021-06-12,48.0
2021-06-13,44.0
2021-06-14,14.0
2021-06-15,23.0
2021-06-16,33.0
2021-06-17,48.0
2021-06-18,53.0
2021-06-19,65.0
2021-06-20,39.0
2021-06-21,20.0
2021-06-22,32.0
2021-06-23,46.0
2021-06-24,45.0
2021-06-25,67.0
2021-06-26,75.0
2021-06-27,47.0
2021-06-28,22.0
